epoch,timestamp,location-long,location-lat,height-above-msl
1682781653,2023-04-29 15:20:53,-6.4808688,37.4292224,171.68
1682781774,2023-04-29 15:22:54,-6.4810472,37.429616,93.54
1682781892,2023-04-29 15:24:52,-6.4777196,37.430192,106.61
1682782013,2023-04-29 15:26:53,-6.4776116,37.4300928,150.89
1682782133,2023-04-29 15:28:53,-6.4776644,37.4301248,138.72
1682782253,2023-04-29 15:30:53,-6.477898,37.430432,90.43
1682782373,2023-04-29 15:32:53,-6.4778252,37.4304128,83.48
1682782492,2023-04-29 15:34:52,-6.4777196,37.4300832,145.74
1682782613,2023-04-29 15:36:53,-6.4777884,37.4302912,106.23
1682782733,2023-04-29 15:38:53,-6.4754104,37.4285856,117.24
1682782793,2023-04-29 15:39:53,-6.472124,37.4284704,150.64
1682782853,2023-04-29 15:40:53,-6.4672212,37.4274592,239.75
1682782914,2023-04-29 15:41:54,-6.4637664,37.4248512,307.55
1682782973,2023-04-29 15:42:53,-6.4663216,37.4216576,270.32
1682783033,2023-04-29 15:43:53,-6.4690496,37.420192,152.03
1682783093,2023-04-29 15:44:53,-6.4697984,37.4201504,142.49
1682783153,2023-04-29 15:45:53,-6.469832,37.4202912,125.15
1682783213,2023-04-29 15:46:53,-6.469752,37.4201472,141.76
1682783333,2023-04-29 15:48:53,-6.470272,37.4199424,143.77
1682783453,2023-04-29 15:50:53,-6.4703012,37.419904,150.07
1682783572,2023-04-29 15:52:52,-6.4703188,37.4200064,140.8
1682783691,2023-04-29 15:54:51,-6.4702552,37.4198848,151.32
1682783813,2023-04-29 15:56:53,-6.4710204,37.4208032,157.75
1682783933,2023-04-29 15:58:53,-6.4733896,37.4221088,167.57
1682784053,2023-04-29 16:00:53,-6.4719692,37.4190688,154.55
1682784172,2023-04-29 16:02:52,-6.4719152,37.41904,157.45
1682784292,2023-04-29 16:04:52,-6.4720584,37.419056,157.82
1682784412,2023-04-29 16:06:52,-6.4730312,37.4186464,180.44
1682784533,2023-04-29 16:08:53,-6.4744588,37.420928,138.57
1682784593,2023-04-29 16:09:53,-6.476004,37.4241216,129.36
1682784652,2023-04-29 16:10:52,-6.4785552,37.4254048,138.48
1682784713,2023-04-29 16:11:53,-6.4777164,37.4273248,114.54
1682784773,2023-04-29 16:12:53,-6.477818,37.430112,130.75
1682784833,2023-04-29 16:13:53,-6.4779016,37.4302048,117.49
1682784895,2023-04-29 16:14:55,-6.4780508,37.42992,174.69
1682785016,2023-04-29 16:16:56,-6.4774928,37.4302976,100.73
1682785621,2023-04-29 16:27:01,-6.4791804,37.4298368,197.34
1682786212,2023-04-29 16:36:52,-6.4795108,37.4298816,157.26
1682786812,2023-04-29 16:46:52,-6.4798116,37.4297952,130.72
1682787412,2023-04-29 16:56:52,-6.4795572,37.4298208,143.51
1682788012,2023-04-29 17:06:52,-6.482864,37.4289408,138.23
1682788619,2023-04-29 17:16:59,-6.4809572,37.4291008,235.99
1682789212,2023-04-29 17:26:52,-6.477698,37.4300352,168.19
1682789811,2023-04-29 17:36:51,-6.4777152,37.4299424,166.9
1682790411,2023-04-29 17:46:51,-6.4789256,37.429488,156.99
1682791011,2023-04-29 17:56:51,-6.4781576,37.4270848,153.98
1682791612,2023-04-29 18:06:52,-6.481308,37.4270176,152.41
